Età,Maschi,Femmine,Celibi - Nubili,Coniugati,Vedovi,Divorziati,Totale
0-4,960,934,1.894,0,0,0,1.894
5-9,1.026,1.022,2.048,0,0,0,2.048
10-14,1.154,1.095,2.249,0,0,0,2.249
15-19,1.336,1.217,2.551,2,0,0,2.553
20-24,1.228,1.189,2.333,83,1,0,2.417
25-29,1.106,1.137,1.846,391,0,6,2.243
30-34,1.117,1.212,1.295,1.016,4,14,2.329
35-39,1.115,1.143,804,1.411,4,39,2.258
40-44,1.226,1.305,611,1.827,25,68,2.531
45-49,1.347,1.396,505,2.090,42,106,2.743
50-54,1.358,1.430,436,2.152,87,113,2.788
55-59,1.359,1.501,336,2.281,128,115,2.860
60-64,1.252,1.386,248,2.124,185,81,2.638
65-69,1.074,1.211,142,1.750,328,65,2.285
70-74,1.013,1.256,147,1.621,455,46,2.269
75-79,827,1.072,111,1.186,564,38,1.899
80-84,499,767,86,602,562,16,1.266
85-89,277,422,48,255,392,4,699
90-94,86,197,16,53,211,3,283
95-99,15,41,12,4,40,0,56
100+,2,8,3,0,7,0,10
